Estado,Muertos,Fecha Actualizacion
Ciudad De México,2,2020/03/23
Durango,1,2020/03/23
Jalisco,1,2020/03/23
Ciudad De México,3,2020/03/24
Durango,1,2020/03/24
Jalisco,1,2020/03/24
Ciudad De México,3,2020/03/25
Durango,1,2020/03/25
Jalisco,1,2020/03/25
San Luis Potosí,1,2020/03/25
Ciudad De México,3,2020/03/26
Durango,1,2020/03/26
Jalisco,2,2020/03/26
San Luis Potosí,2,2020/03/26
Ciudad De México,5,2020/03/27
Durango,1,2020/03/27
Jalisco,3,2020/03/27
San Luis Potosí,2,2020/03/27
Michoacán,1,2020/03/27
Ciudad De México,7,2020/03/28
Durango,1,2020/03/28
Jalisco,3,2020/03/28
San Luis Potosí,2,2020/03/28
Michoacán,1,2020/03/28
Hidalgo,1,2020/03/28
Quintana Roo,1,2020/03/28
Ciudad De México,7,2020/03/29
Durango,1,2020/03/29
Jalisco,3,2020/03/29
San Luis Potosí,2,2020/03/29
Michoacán,1,2020/03/29
Hidalgo,2,2020/03/29
Quintana Roo,1,2020/03/29
Coahuila,1,2020/03/29
Morelos,1,2020/03/29
Puebla,1,2020/03/29
Ciudad De México,8,2020/03/30
Durango,1,2020/03/30
Jalisco,3,2020/03/30
San Luis Potosí,2,2020/03/30
Michoacán,1,2020/03/30
Hidalgo,2,2020/03/30
Quintana Roo,1,2020/03/30
Coahuila,1,2020/03/30
Morelos,1,2020/03/30
Puebla,1,2020/03/30
Sinaloa,3,2020/03/30
México,1,2020/03/30
Oaxaca,1,2020/03/30
Querétaro,1,2020/03/30
Veracruz,1,2020/03/30
Ciudad De México,8,2020/03/31
Durango,1,2020/03/31
Jalisco,3,2020/03/31
San Luis Potosí,2,2020/03/31
Michoacán,1,2020/03/31
Hidalgo,3,2020/03/31
Quintana Roo,1,2020/03/31
Coahuila,1,2020/03/31
Morelos,1,2020/03/31
Puebla,1,2020/03/31
Sinaloa,3,2020/03/31
México,1,2020/03/31
Oaxaca,1,2020/03/31
Querétaro,1,2020/03/31
Veracruz,1,2020/03/31
Ciudad De México,8,2020/04/01
Durango,1,2020/04/01
Jalisco,3,2020/04/01
San Luis Potosí,2,2020/04/01
Michoacán,1,2020/04/01
Hidalgo,3,2020/04/01
Quintana Roo,1,2020/04/01
Coahuila,2,2020/04/01
Morelos,1,2020/04/01
Puebla,1,2020/04/01
Sinaloa,4,2020/04/01
México,1,2020/04/01
Oaxaca,1,2020/04/01
Querétaro,1,2020/04/01
Veracruz,1,2020/04/01
Baja California Sur,2,2020/04/01
Guerrero,1,2020/04/01
Nayarit,1,2020/04/01
Tabasco,1,2020/04/01
Zacatecas,1,2020/04/01
Ciudad De México,13,2020/04/02
Durango,1,2020/04/02
Jalisco,4,2020/04/02
San Luis Potosí,2,2020/04/02
Michoacán,1,2020/04/02
Hidalgo,3,2020/04/02
Quintana Roo,1,2020/04/02
Coahuila,2,2020/04/02
Morelos,3,2020/04/02
Puebla,1,2020/04/02
Sinaloa,4,2020/04/02
México,1,2020/04/02
Oaxaca,1,2020/04/02
Querétaro,1,2020/04/02
Veracruz,1,2020/04/02
Baja California Sur,2,2020/04/02
Guerrero,1,2020/04/02
Nayarit,1,2020/04/02
Tabasco,3,2020/04/02
Zacatecas,1,2020/04/02
Baja California,3,2020/04/02
Ciudad De México,15,2020/04/03
Jalisco,6,2020/04/03
Sinaloa,5,2020/04/03
Baja California,5,2020/04/03
Hidalgo,3,2020/04/03
Morelos,3,2020/04/03
Tabasco,3,2020/04/03
Coahuila,3,2020/04/03
San Luis Potosí,2,2020/04/03
Baja California Sur,2,2020/04/03
Querétaro,2,2020/04/03
Veracruz,2,2020/04/03
Durango,1,2020/04/03
México,1,2020/04/03
Michoacán,1,2020/04/03
Oaxaca,1,2020/04/03
Puebla,1,2020/04/03
Quintana Roo,1,2020/04/03
Guerrero,1,2020/04/03
Nayarit,1,2020/04/03
Zacatecas,1,2020/04/03
Ciudad De México,17,2020/04/04
Jalisco,6,2020/04/04
Sinaloa,10,2020/04/04
Baja California,5,2020/04/04
Hidalgo,5,2020/04/04
Morelos,3,2020/04/04
Tabasco,3,2020/04/04
Coahuila,4,2020/04/04
San Luis Potosí,2,2020/04/04
Baja California Sur,2,2020/04/04
Querétaro,2,2020/04/04
Veracruz,3,2020/04/04
Durango,2,2020/04/04
México,3,2020/04/04
Michoacán,1,2020/04/04
Oaxaca,1,2020/04/04
Puebla,1,2020/04/04
Quintana Roo,2,2020/04/04
Guerrero,1,2020/04/04
Nayarit,1,2020/04/04
Zacatecas,2,2020/04/04
Nuevo León,1,2020/04/04
Sonora,1,2020/04/04
Tamaulipas,1,2020/04/04
Ciudad De México,19,2020/04/05
Jalisco,6,2020/04/05
Sinaloa,12,2020/04/05
Baja California,6,2020/04/05
Hidalgo,5,2020/04/05
Morelos,3,2020/04/05
Tabasco,4,2020/04/05
Coahuila,4,2020/04/05
San Luis Potosí,2,2020/04/05
Baja California Sur,2,2020/04/05
Querétaro,2,2020/04/05
Veracruz,3,2020/04/05
Durango,3,2020/04/05
México,3,2020/04/05
Michoacán,3,2020/04/05
Oaxaca,1,2020/04/05
Puebla,1,2020/04/05
Quintana Roo,4,2020/04/05
Guerrero,2,2020/04/05
Nayarit,1,2020/04/05
Zacatecas,2,2020/04/05
Nuevo León,2,2020/04/05
Sonora,1,2020/04/05
Tamaulipas,1,2020/04/05
Yucatán,2,2020/04/05
Ciudad De México,29,2020/04/06
Jalisco,7,2020/04/06
Sinaloa,12,2020/04/06
Baja California,7,2020/04/06
Hidalgo,5,2020/04/06
Morelos,3,2020/04/06
Tabasco,8,2020/04/06
Coahuila,5,2020/04/06
San Luis Potosí,3,2020/04/06
Baja California Sur,2,2020/04/06
Querétaro,2,2020/04/06
Veracruz,3,2020/04/06
Durango,4,2020/04/06
México,8,2020/04/06
Michoacán,3,2020/04/06
Oaxaca,1,2020/04/06
Puebla,2,2020/04/06
Quintana Roo,8,2020/04/06
Guerrero,3,2020/04/06
Nayarit,1,2020/04/06
Zacatecas,2,2020/04/06
Nuevo León,3,2020/04/06
Sonora,1,2020/04/06
Tamaulipas,1,2020/04/06
Yucatán,2,2020/04/06
Ciudad De México,32,2020/04/07
Sinaloa,13,2020/04/07
México,9,2020/04/07
Quintana Roo,9,2020/04/07
Tabasco,8,2020/04/07
Baja California,7,2020/04/07
Jalisco,7,2020/04/07
Coahuila,5,2020/04/07
Hidalgo,6,2020/04/07
Durango,4,2020/04/07
Guerrero,3,2020/04/07
Michoacán,4,2020/04/07
Morelos,4,2020/04/07
Nuevo León,4,2020/04/07
San Luis Potosí,3,2020/04/07
Veracruz,3,2020/04/07
Baja California Sur,2,2020/04/07
Puebla,4,2020/04/07
Querétaro,2,2020/04/07
Yucatán,2,2020/04/07
Zacatecas,2,2020/04/07
Nayarit,1,2020/04/07
Oaxaca,1,2020/04/07
Sonora,1,2020/04/07
Tamaulipas,3,2020/04/07
Campeche,1,2020/04/07
Guanajuato,1,2020/04/07
Ciudad De México,39,2020/04/08
Sinaloa,13,2020/04/08
México,11,2020/04/08
Quintana Roo,10,2020/04/08
Tabasco,8,2020/04/08
Baja California,15,2020/04/08
Jalisco,8,2020/04/08
Hidalgo,7,2020/04/08
Coahuila,7,2020/04/08
Durango,4,2020/04/08
Michoacán,5,2020/04/08
Morelos,5,2020/04/08
Nuevo León,4,2020/04/08
Puebla,9,2020/04/08
Guerrero,4,2020/04/08
San Luis Potosí,4,2020/04/08
Veracruz,3,2020/04/08
Tamaulipas,3,2020/04/08
Baja California Sur,2,2020/04/08
Querétaro,2,2020/04/08
Yucatán,3,2020/04/08
Zacatecas,2,2020/04/08
Nayarit,1,2020/04/08
Oaxaca,1,2020/04/08
Sonora,2,2020/04/08
Campeche,1,2020/04/08
Guanajuato,1,2020/04/08
Ciudad De México,43,2020/04/09
Sinaloa,15,2020/04/09
México,11,2020/04/09
Quintana Roo,12,2020/04/09
Tabasco,9,2020/04/09
Baja California,16,2020/04/09
Jalisco,8,2020/04/09
Hidalgo,7,2020/04/09
Coahuila,7,2020/04/09
Durango,4,2020/04/09
Michoacán,5,2020/04/09
Morelos,7,2020/04/09
Nuevo León,5,2020/04/09
Puebla,10,2020/04/09
Guerrero,5,2020/04/09
San Luis Potosí,4,2020/04/09
Veracruz,3,2020/04/09
Tamaulipas,3,2020/04/09
Baja California Sur,2,2020/04/09
Querétaro,2,2020/04/09
Yucatán,3,2020/04/09
Zacatecas,2,2020/04/09
Nayarit,3,2020/04/09
Oaxaca,1,2020/04/09
Sonora,4,2020/04/09
Campeche,1,2020/04/09
Guanajuato,1,2020/04/09
Chihuahua,1,2020/04/09
